gen,mean p,sigma p,max p
0,0.4892,0.2896,0.9999
1,0.2005,0.1635,0.9999
2,0.1167,0.0968,0.8484
3,0.0814,0.0663,0.5503
4,0.0620,0.0514,0.3275
5,0.0517,0.0441,0.3275
6,0.0428,0.0360,0.2337
7,0.0375,0.0311,0.1713
8,0.0326,0.0267,0.1713
9,0.0299,0.0246,0.1713
10,0.0276,0.0230,0.1469
11,0.0247,0.0205,0.1346
12,0.0225,0.0186,0.1323
13,0.0208,0.0172,0.1256
14,0.0196,0.0167,0.0920
15,0.0183,0.0159,0.0920
16,0.0172,0.0154,0.0920
17,0.0163,0.0150,0.0684
18,0.0153,0.0145,0.0684
19,0.0141,0.0138,0.0684
20,0.0131,0.0130,0.0684
21,0.0119,0.0120,0.0631
22,0.0114,0.0115,0.0631
23,0.0107,0.0110,0.0631
24,0.0104,0.0108,0.0625
25,0.0098,0.0101,0.0625
26,0.0093,0.0096,0.0625
27,0.0089,0.0094,0.0560
28,0.0086,0.0091,0.0560
29,0.0083,0.0089,0.0529
30,0.0080,0.0087,0.0417
31,0.0076,0.0085,0.0417
32,0.0074,0.0083,0.0417
33,0.0071,0.0082,0.0417
34,0.0069,0.0079,0.0417
35,0.0064,0.0076,0.0417
36,0.0062,0.0075,0.0417
37,0.0061,0.0073,0.0417
38,0.0060,0.0072,0.0417
39,0.0059,0.0072,0.0417
40,0.0056,0.0069,0.0313
41,0.0054,0.0067,0.0313
42,0.0051,0.0065,0.0356
43,0.0048,0.0062,0.0356
44,0.0045,0.0061,0.0356
45,0.0043,0.0058,0.0356
46,0.0042,0.0056,0.0313
47,0.0039,0.0054,0.0280
48,0.0038,0.0053,0.0280
49,0.0035,0.0050,0.0280
50,0.0033,0.0046,0.0280
51,0.0032,0.0044,0.0280
52,0.0031,0.0042,0.0280
53,0.0030,0.0041,0.0280
54,0.0029,0.0040,0.0225
55,0.0030,0.0041,0.0256
56,0.0029,0.0040,0.0256
57,0.0028,0.0038,0.0256
58,0.0027,0.0038,0.0256
59,0.0027,0.0037,0.0225
60,0.0027,0.0038,0.0225
61,0.0026,0.0037,0.0225
62,0.0024,0.0036,0.0225
63,0.0024,0.0036,0.0231
64,0.0023,0.0035,0.0225
65,0.0023,0.0036,0.0225
66,0.0022,0.0034,0.0225
67,0.0022,0.0034,0.0225
68,0.0021,0.0033,0.0192
69,0.0021,0.0033,0.0192
70,0.0020,0.0033,0.0213
71,0.0019,0.0031,0.0192
72,0.0019,0.0031,0.0192
73,0.0020,0.0031,0.0176
74,0.0020,0.0032,0.0176
75,0.0019,0.0030,0.0176
76,0.0018,0.0029,0.0160
77,0.0018,0.0028,0.0160
78,0.0017,0.0027,0.0184
79,0.0016,0.0025,0.0160
80,0.0016,0.0026,0.0160
81,0.0015,0.0025,0.0160
82,0.0015,0.0025,0.0160
83,0.0015,0.0025,0.0127
84,0.0015,0.0025,0.0147
85,0.0014,0.0024,0.0147
86,0.0014,0.0023,0.0127
87,0.0014,0.0023,0.0127
88,0.0014,0.0023,0.0114
89,0.0014,0.0023,0.0122
90,0.0013,0.0022,0.0111
91,0.0013,0.0023,0.0111
92,0.0014,0.0024,0.0111
93,0.0014,0.0024,0.0111
94,0.0014,0.0023,0.0111
95,0.0013,0.0023,0.0135
96,0.0013,0.0023,0.0135
97,0.0013,0.0022,0.0135
98,0.0012,0.0021,0.0135
99,0.0012,0.0021,0.0135
100,0.0012,0.0022,0.0135
101,0.0012,0.0022,0.0189
102,0.0012,0.0021,0.0128
103,0.0011,0.0021,0.0164
104,0.0011,0.0020,0.0128
105,0.0010,0.0019,0.0128
106,0.0010,0.0019,0.0128
107,0.0009,0.0018,0.0173
108,0.0010,0.0020,0.0173
109,0.0011,0.0020,0.0173
110,0.0011,0.0020,0.0180
111,0.0011,0.0019,0.0173
112,0.0010,0.0020,0.0173
113,0.0011,0.0021,0.0173
114,0.0011,0.0021,0.0184
115,0.0011,0.0020,0.0151
116,0.0011,0.0020,0.0181
117,0.0011,0.0020,0.0151
118,0.0011,0.0020,0.0151
119,0.0010,0.0019,0.0128
120,0.0011,0.0019,0.0128
121,0.0011,0.0019,0.0095
122,0.0011,0.0019,0.0101
123,0.0011,0.0019,0.0101
124,0.0011,0.0019,0.0157
125,0.0011,0.0019,0.0104
126,0.0011,0.0018,0.0101
127,0.0012,0.0020,0.0101
128,0.0011,0.0019,0.0108
129,0.0011,0.0019,0.0102
130,0.0011,0.0018,0.0086
131,0.0011,0.0018,0.0105
132,0.0011,0.0018,0.0105
133,0.0010,0.0018,0.0105
134,0.0010,0.0018,0.0101
135,0.0011,0.0019,0.0106
136,0.0012,0.0020,0.0106
137,0.0011,0.0019,0.0106
138,0.0012,0.0021,0.0165
139,0.0012,0.0021,0.0165
140,0.0012,0.0021,0.0132
141,0.0013,0.0022,0.0132
142,0.0012,0.0022,0.0132
143,0.0013,0.0022,0.0132
144,0.0012,0.0022,0.0145
145,0.0012,0.0022,0.0132
146,0.0012,0.0022,0.0132
147,0.0012,0.0022,0.0156
148,0.0011,0.0020,0.0153
149,0.0011,0.0021,0.0173
150,0.0012,0.0021,0.0132
151,0.0012,0.0021,0.0132
152,0.0011,0.0021,0.0132
153,0.0012,0.0023,0.0216
154,0.0012,0.0023,0.0216
155,0.0012,0.0024,0.0216
156,0.0012,0.0024,0.0216
157,0.0012,0.0024,0.0216
158,0.0012,0.0024,0.0216
159,0.0011,0.0022,0.0177
160,0.0011,0.0021,0.0134
161,0.0010,0.0020,0.0134
162,0.0011,0.0020,0.0114
163,0.0010,0.0020,0.0103
164,0.0010,0.0019,0.0103
165,0.0010,0.0019,0.0114
166,0.0010,0.0019,0.0114
167,0.0010,0.0020,0.0114
168,0.0010,0.0019,0.0131
169,0.0010,0.0018,0.0131
170,0.0010,0.0019,0.0131
171,0.0010,0.0019,0.0132
172,0.0010,0.0020,0.0169
173,0.0010,0.0020,0.0169
174,0.0010,0.0021,0.0130
175,0.0010,0.0021,0.0130
176,0.0010,0.0021,0.0130
177,0.0010,0.0022,0.0130
178,0.0010,0.0021,0.0130
179,0.0009,0.0019,0.0130
180,0.0009,0.0019,0.0125
181,0.0010,0.0020,0.0137
182,0.0010,0.0020,0.0137
183,0.0010,0.0021,0.0137
184,0.0010,0.0020,0.0112
185,0.0010,0.0020,0.0174
186,0.0010,0.0021,0.0179
187,0.0010,0.0022,0.0179
188,0.0010,0.0021,0.0112
189,0.0010,0.0021,0.0112
190,0.0010,0.0021,0.0112
191,0.0010,0.0021,0.0112
192,0.0010,0.0021,0.0112
193,0.0011,0.0021,0.0177
194,0.0010,0.0020,0.0177
195,0.0009,0.0019,0.0177
196,0.0009,0.0019,0.0177
197,0.0010,0.0020,0.0177
198,0.0010,0.0020,0.0177
199,0.0010,0.0020,0.0177
200,0.0009,0.0019,0.0184
