p,mean p omega
0.0005,0.1055
0.2675,0.0577
0.1656,0.2982
0.3802,0.2238
0.3802,0.1509
0.0362,0.1781
0.1404,0.0803
0.2008,0.1825
0.2437,0.3009
0.6571,0.2159
0.3316,0.3120
0.0883,0.2132
0.1011,0.0525
0.0102,0.0834
0.1213,0.0863
0.2019,0.2079
0.2019,0.1662
0.2019,0.2141
0.1641,0.2577
0.3383,0.2074
0.0442,0.3095
0.4084,0.1577
0.4084,0.2565
0.0962,0.3003
0.4317,0.1401
0.2797,0.4317
0.4317,0.2695
0.3956,0.1984
0.1541,0.3036
0.4462,0.1396
0.0878,0.2278
0.1487,0.0888
0.0820,0.2316
0.0820,0.0732
0.0820,0.2225
0.3480,0.1711
0.0791,0.1313
0.0475,0.0901
0.0664,0.0561
0.0955,0.0335
0.0584,0.1004
0.0584,0.2700
0.1656,0.1388
0.1656,0.2527
0.0362,0.3015
0.0362,0.0362
0.0362,0.0875
0.1449,0.1317
0.1449,0.2108
0.2437,0.2466
0.2146,0.2196
0.0883,0.1180
0.1011,0.0939
0.1011,0.0760
0.0758,0.1090
0.0758,0.0810
0.0758,0.1161
0.1641,0.1815
0.1641,0.1641
0.1641,0.1550
0.0588,0.0778
0.0442,0.1977
0.2649,0.2510
0.2649,0.1499
0.0885,0.2750
0.4317,0.2032
0.2797,0.2426
0.0535,0.2145
0.2183,0.1392
0.2286,0.3276
0.2283,0.1278
0.0974,0.2014
0.4700,0.0788
0.0382,0.2069
0.2374,0.0990
0.2374,0.1992
0.0820,0.0517
0.1438,0.0258
0.0149,0.0709
0.0584,0.0563
0.2845,0.3337
0.5884,0.1982
0.1656,0.4020
0.4287,0.3948
0.6240,0.2064
0.0362,0.1793
0.0284,0.0614
0.1449,0.1632
0.3847,0.1950
0.2146,0.3159
0.2146,0.1481
0.0883,0.1637
0.0851,0.0883
0.1170,0.1915
0.0915,0.0849
0.0915,0.0531
0.0225,0.1184
0.2840,0.0933
0.1641,0.2235
0.0588,0.1758
0.0588,0.0588
0.0588,0.3189
0.2864,0.1563
0.0151,0.3354
0.0885,0.0885
0.0885,0.1912
0.0535,0.1844
0.0535,0.0535
0.0535,0.2513
0.4175,0.1265
0.0974,0.2033
0.0974,0.0974
0.0974,0.2835
0.0382,0.0530
0.0382,0.0750
0.0121,0.1133
0.1656,0.0131
0.0149,0.1692
0.0149,0.0149
0.4036,0.1979
0.2845,0.2845
0.2845,0.4875
0.4255,0.3749
0.6240,0.3911
0.0586,0.3357
0.0284,0.0454
0.0284,0.0284
0.0284,0.0941
0.2062,0.2037
0.4205,0.1214
0.0748,0.2442
0.2668,0.0795
0.0754,0.2107
0.2455,0.1361
0.0873,0.1198
0.0225,0.0709
0.0225,0.0225
0.0225,0.1940
0.3872,0.1831
0.3163,0.2717
0.3872,0.3239
0.8863,0.2967
0.2864,0.2864
0.2864,0.3824
0.0885,0.1870
0.0475,0.3302
0.3157,0.3025
0.0535,0.2695
0.3157,0.0951
0.1069,0.2082
0.0700,0.1196
0.0974,0.2150
0.5285,0.0992
0.0382,0.2031
0.0121,0.0805
0.0121,0.0121
0.0121,0.1832
