p,mean p omega
0.3719,0.3188
0.3872,0.3827
0.3872,0.3872
0.3872,0.3872
0.3724,0.3824
0.3872,0.3872
0.3800,0.3836
0.3800,0.3797
0.2315,0.2426
0.3872,0.3872
0.3800,0.3800
0.3872,0.3845
0.3800,0.3800
0.3872,NaN
0.3872,0.3827
0.3872,0.3907
0.3872,0.3809
0.3872,0.3472
0.3872,0.3849
0.0273,0.2072
0.1418,0.2645
0.3872,0.3872
0.3759,NaN
0.3872,0.3649
0.3719,0.3759
0.1240,0.1240
0.3872,0.3404
0.3872,0.3337
0.3872,0.3872
0.3872,0.3872
0.3872,0.3828
0.3872,0.3848
0.3800,0.3800
0.3872,0.3859
0.3872,0.3834
0.3872,0.3869
0.3872,0.3828
0.0273,0.0273
0.3719,0.3583
0.3872,0.3637
0.3872,0.3872
0.3872,0.3843
0.3872,0.3818
0.3872,0.3872
0.3759,0.3759
0.3872,0.3872
0.3872,0.3857
0.3941,0.3872
0.3872,0.3872
0.3800,0.3779
0.2295,0.2926
0.3872,0.3872
0.1418,0.1418
0.3872,0.3872
0.3800,0.3800
0.3719,0.3719
0.3784,0.3792
0.0273,0.2072
0.3872,0.3872
0.3872,0.3073
0.3800,NaN
0.3719,0.3795
0.3872,0.3848
0.3872,0.3836
0.3759,0.3759
0.1198,0.1198
0.3800,0.3824
0.3872,0.3872
0.3872,0.3872
0.3719,0.3393
0.2274,0.3204
0.3872,0.2644
0.3817,0.3844
0.3872,0.3849
0.3872,0.3872
0.3872,0.3872
0.1240,0.1240
0.0273,0.2072
0.3872,0.3872
0.1092,0.1092
0.3872,0.2981
0.0421,NaN
0.3800,0.3828
0.3676,0.3759
0.3872,0.3872
0.3872,0.3872
0.3872,0.3811
0.3872,0.3857
0.2365,0.2365
0.1417,0.1417
0.3872,0.3458
0.3800,0.3796
0.3872,0.3872
0.1378,0.1378
0.1198,0.2535
0.3872,0.3872
0.3872,0.3872
0.3800,0.3824
0.3872,0.3833
0.3800,0.3789
0.2274,0.2521
0.3872,0.3872
0.3800,0.3759
0.3872,0.3872
0.3872,0.3872
0.3872,0.3854
0.3872,0.3872
0.3872,0.3848
0.3719,0.3759
0.1415,NaN
0.3800,0.3848
0.3800,0.3842
0.3800,0.3379
0.3872,0.3864
0.3872,0.3655
0.3872,0.3841
0.3800,0.3848
0.3872,0.3872
0.3800,0.3848
0.3872,0.2981
0.3872,0.3867
0.3872,0.3872
0.3872,0.3821
0.0672,0.2272
0.3872,0.3860
0.3872,NaN
0.3784,0.3780
0.3872,0.3836
0.3872,NaN
0.3872,0.3872
0.3872,0.3872
0.2274,0.2274
0.3719,0.3739
0.3855,0.3773
0.3784,0.3772
0.3872,0.3805
0.3872,0.3832
0.3872,0.3826
0.3872,0.3872
0.3872,0.3872
0.0672,0.0672
0.3872,0.3821
0.3800,0.3814
0.3872,0.3872
0.3872,0.3840
0.3719,0.3748
0.3739,0.3769
0.3872,0.3024
0.1198,0.3337
0.3800,0.3854
0.3872,0.3871
0.3872,0.3850
0.3872,0.3827
0.3872,0.3857
0.3872,0.3872
0.3872,0.3872
0.2295,0.3007
0.3863,0.3872
0.3719,0.3718
0.3800,0.3800
0.3941,0.3795
0.3872,0.3872
0.3872,0.3872
0.3784,0.3824
0.1378,0.2625
0.3739,0.3792
0.3719,0.3797
0.3872,0.3872
0.3872,0.3866
0.1198,0.1198
0.3719,0.3786
0.3872,0.3872
0.3739,0.3813
0.1240,0.2556
0.3800,0.3836
0.3872,0.3824
0.3800,0.3848
0.3719,0.3795
0.1092,0.2482
0.3872,0.3872
0.3971,NaN
0.3941,0.3872
0.3800,0.3825
0.3872,0.3872
0.3872,0.3827
0.3872,0.3836
0.3800,0.3848
0.3719,0.3751
0.1418,0.1418
0.3872,0.3872
0.3719,0.3751
0.1289,0.1289
0.3872,0.3821
0.3872,0.3872
0.3872,0.3849
0.3872,0.3865
0.3872,0.3872
0.3800,0.3800
0.3872,0.3872
0.3872,0.3572
0.3872,0.3857
0.3872,0.3848
0.3872,0.3872
0.3872,0.3872
0.3872,0.3872
0.3872,0.3582
0.3872,0.3872
0.3800,0.3836
0.3872,0.3872
0.3872,0.3872
0.3872,0.3872
0.3872,0.3589
0.3872,0.3826
0.3872,0.3895
0.3817,0.3646
0.3872,0.3857
0.3739,0.3827
0.0273,0.2672
0.3759,0.3759
0.3872,0.3872
0.3800,0.3800
0.3800,0.3759
0.1240,0.1240
0.3719,0.3759
0.2295,0.2295
0.1418,0.1418
0.3800,0.3828
0.3872,0.3872
0.3791,0.3872
0.3646,0.3795
0.3872,0.3872
0.3784,0.3832
0.3800,0.3836
0.3872,0.3872
0.3872,0.3857
0.3800,0.2933
0.3784,0.3827
0.3872,0.3872
0.3919,0.3460
0.3800,0.3828
0.3800,0.3366
0.3872,0.3845
0.1417,0.1417
0.3872,0.3709
0.3800,0.3813
0.3872,0.3872
0.3872,0.3828
0.3800,0.3828
0.3800,0.3814
0.3872,0.3872
0.2365,0.2365
0.3719,0.3719
0.1417,0.1417
0.3872,0.3860
0.3800,0.3830
0.3872,0.3871
0.3800,0.3848
0.3872,0.3848
0.3800,NaN
0.3967,0.3872
0.3719,0.3872
0.3872,0.3833
0.3872,0.3872
0.3784,0.3828
0.3872,0.3872
0.2295,0.2295
0.3800,0.3755
0.3872,NaN
0.3872,0.3565
0.3872,NaN
0.3872,0.3863
0.3872,0.3872
0.3784,0.3761
0.3872,0.3811
0.3800,0.3775
0.3872,0.3857
0.1198,0.2535
0.3872,0.3872
0.2295,0.3526
0.3872,0.3872
0.3872,0.3828
0.1066,NaN
0.2274,0.2814
0.3739,0.3769
0.3800,0.3800
0.3872,0.3823
0.1417,0.2235
0.3800,0.3787
0.3872,0.3863
0.3872,0.3872
0.3872,0.3872
0.3872,0.3859
0.3872,0.3872
0.3872,0.3872
0.3800,0.3818
0.1417,0.1417
0.3872,0.3872
0.3872,0.3872
0.3872,0.3872
0.3800,0.3800
0.3872,0.3872
0.3800,0.3800
0.3850,0.3850
0.3800,0.3836
0.3872,0.3831
0.3872,0.3872
0.3872,0.3829
0.2274,0.2274
0.3800,0.3828
0.3872,0.3560
0.3800,0.3800
0.3872,0.3575
0.3872,0.3528
0.3800,0.3833
0.3872,0.3872
0.3800,0.3823
0.3800,0.3800
0.3872,0.3843
0.3872,0.3866
0.3800,0.3836
0.3872,0.3828
0.3941,0.3872
0.1198,0.1198
0.3872,0.3852
0.3719,0.3761
0.3719,0.3719
0.3872,0.3861
0.3800,0.3759
0.1417,0.1417
0.1378,0.1378
0.3872,0.3864
0.3872,0.3842
0.3800,0.3817
0.3784,0.3135
0.3719,0.3815
0.3872,0.3604
0.3872,0.3615
0.3872,0.3872
0.3872,0.3872
0.3872,0.3848
0.3872,0.3849
0.3759,0.3759
0.3872,0.3855
0.3784,0.3771
0.3872,0.3871
0.3872,0.3872
0.1417,0.2600
0.3800,0.3824
0.0672,0.0672
0.3872,0.3851
0.3800,0.3829
0.3872,0.3827
0.3872,0.3716
0.3872,0.3872
0.3719,0.3821
0.3800,0.3824
0.3800,NaN
0.3872,0.3852
0.3800,0.3854
0.2365,0.2365
0.3872,0.3490
0.3872,0.3872
