p,mean p omega
0.4378,0.4378
0.4415,0.4378
0.4378,0.4389
0.4415,0.4406
0.4378,0.4378
0.4439,0.4396
0.4378,0.4402
0.4378,0.4398
0.4378,0.4378
0.4378,0.4388
0.4378,0.4387
0.4378,0.4379
0.4378,0.4391
0.4378,0.4366
0.4378,0.4378
0.4463,0.4403
0.4003,0.4003
0.4203,0.4203
0.4378,0.4378
0.4378,0.4387
0.4370,0.4375
0.4280,0.4280
0.4378,0.4407
0.4378,0.4378
0.4370,0.4370
0.4415,0.4393
0.4280,0.4329
0.4370,0.4404
0.4378,0.4378
0.4378,0.4395
0.4378,0.4378
0.4439,0.4405
0.4378,0.4329
0.4502,0.4400
0.4349,0.4349
0.4378,0.4415
0.4463,0.4416
0.4321,0.4357
0.4415,0.4399
0.4439,0.4360
0.4415,0.4396
0.4463,0.4442
0.4370,0.4359
0.4378,0.4339
0.4405,0.4384
0.4302,0.4382
0.4378,0.4411
0.4421,0.4378
0.4378,0.4370
0.4378,0.4378
0.4378,0.4350
0.4378,0.4378
0.4439,0.4439
0.4378,0.4376
0.4415,0.4370
0.4378,0.4394
0.4378,0.4378
0.4370,0.4370
0.4405,0.4385
0.4378,0.4370
0.4378,0.4378
0.4378,0.4393
0.4378,0.4378
0.4280,0.4336
0.4370,0.4387
0.4378,0.4371
0.4280,0.4329
0.4378,0.4386
0.4378,0.4378
0.4415,0.4403
0.4003,0.4003
0.4405,0.4391
0.4280,0.4280
0.4280,0.4329
0.4378,0.4388
0.4378,0.4375
0.4378,0.4378
0.4378,0.4406
0.4300,0.4300
0.4439,0.4439
0.4378,0.4378
0.4280,0.4274
0.4378,0.4378
0.4280,0.4360
0.4378,0.4378
0.4372,0.4287
0.3979,0.3979
0.4378,0.4385
0.4378,0.4409
0.4444,0.4369
0.4378,0.4374
0.4378,0.4419
0.4426,0.4378
0.4378,0.4375
0.4003,NaN
0.4378,0.4378
0.4378,0.4365
0.4378,0.4378
0.4378,0.4409
0.4378,0.4378
0.4415,0.4404
0.4378,0.4375
0.4370,0.4388
0.4280,0.4348
0.4280,0.4280
