mean avg p,sigma mean p,ER
0.1820,0.0000,1
0.3251,0.0000,2
0.5588,0.0000,3
0.4081,0.0000,4
0.4370,0.0000,5
0.5355,0.0000,6
0.6105,0.0000,7
0.4280,0.0000,8
0.5612,0.0000,9
0.5479,0.0000,10
0.4937,0.0000,11
0.4937,0.0000,12
0.4810,0.0000,13
0.6211,0.0000,14
0.5523,0.0000,15
0.5702,0.0000,16
0.5610,0.0000,17
0.5864,0.0000,18
0.6351,0.0000,19
0.6701,0.0000,20
0.6166,0.0000,21
0.5572,0.0000,22
0.6651,0.0000,23
0.6642,0.0000,24
0.5901,0.0000,25
0.6535,0.0000,26
0.7139,0.0000,27
0.7266,0.0000,28
0.6073,0.0000,29
0.6357,0.0000,30
0.8423,0.0000,31
0.7239,0.0000,32
0.6700,0.0000,33
0.7822,0.0000,34
0.5589,0.0000,35
0.9148,0.0000,36
0.6920,0.0000,37
0.7962,0.0000,38
0.7508,0.0000,39
0.7241,0.0000,40
0.8080,0.0000,41
0.7476,0.0000,42
0.8301,0.0000,43
0.7631,0.0000,44
0.7864,0.0000,45
0.7388,0.0000,46
0.8026,0.0000,47
0.7623,0.0000,48
0.6758,0.0000,49
0.7933,0.0000,50
