mean avg p,sigma mean p,ER
0.2653,0.0000,1
0.4805,0.0000,2
0.6358,0.0000,3
0.5000,0.0000,4
0.5452,0.0000,5
0.7812,0.0000,6
0.7591,0.0000,7
0.7167,0.0000,8
0.5864,0.0000,9
0.7099,0.0000,10
0.5962,0.0000,11
0.6175,0.0000,12
0.8105,0.0000,13
0.5770,0.0000,14
0.7519,0.0000,15
0.7055,0.0000,16
0.7794,0.0000,17
0.6888,0.0000,18
0.6529,0.0000,19
0.9764,0.0000,20
0.6961,0.0000,21
0.6812,0.0000,22
0.7893,0.0000,23
0.7772,0.0000,24
0.7392,0.0000,25
0.7864,0.0000,26
0.8881,0.0000,27
0.7947,0.0000,28
0.7082,0.0000,29
0.8350,0.0000,30
0.8457,0.0000,31
0.9113,0.0000,32
0.7702,0.0000,33
0.7148,0.0000,34
0.7097,0.0000,35
0.7206,0.0000,36
0.8563,0.0000,37
0.8090,0.0000,38
0.9994,0.0000,39
0.9454,0.0000,40
0.8261,0.0000,41
0.9994,0.0000,42
0.9831,0.0000,43
0.8718,0.0000,44
0.9121,0.0000,45
0.9554,0.0000,46
0.9934,0.0000,47
0.9801,0.0000,48
0.9681,0.0000,49
0.9736,0.0000,50
