mean avg p,sigma mean p,ER
0.4561,0.0000,1
0.5320,0.0000,2
0.7289,0.0000,3
0.6496,0.0000,4
0.5725,0.0000,5
0.7652,0.0000,6
0.7281,0.0000,7
0.8613,0.0000,8
0.7287,0.0000,9
0.7440,0.0000,10
0.6803,0.0000,11
0.7289,0.0000,12
0.7784,0.0000,13
0.6742,0.0000,14
0.7826,0.0000,15
0.7645,0.0000,16
0.8015,0.0000,17
0.6215,0.0000,18
0.8901,0.0000,19
0.7438,0.0000,20
0.8008,0.0000,21
0.7818,0.0000,22
0.7525,0.0000,23
0.8289,0.0000,24
0.7199,0.0000,25
0.8313,0.0000,26
0.7979,0.0000,27
0.8531,0.0000,28
0.8638,0.0000,29
0.8733,0.0000,30
0.7989,0.0000,31
0.8756,0.0000,32
0.7770,0.0000,33
0.9134,0.0000,34
0.8299,0.0000,35
0.7357,0.0000,36
0.8474,0.0000,37
0.9549,0.0000,38
0.9447,0.0000,39
0.8103,0.0000,40
0.9750,0.0000,41
0.9996,0.0000,42
0.8926,0.0000,43
0.9332,0.0000,44
0.9995,0.0000,45
0.9563,0.0000,46
0.9084,0.0000,47
0.9418,0.0000,48
0.9096,0.0000,49
0.9031,0.0000,50
