mean avg p,sigma mean p,ER
0.4501,0.0000,1
0.4506,0.0000,2
0.5102,0.0000,3
0.6897,0.0000,4
0.7308,0.0000,5
0.6490,0.0000,6
0.7032,0.0000,7
0.8233,0.0000,8
0.7159,0.0000,9
0.8124,0.0000,10
0.9624,0.0000,11
0.7871,0.0000,12
0.7340,0.0000,13
0.7570,0.0000,14
0.7441,0.0000,15
0.6583,0.0000,16
0.8012,0.0000,17
0.6930,0.0000,18
0.6844,0.0000,19
0.8229,0.0000,20
0.6626,0.0000,21
0.7602,0.0000,22
0.8319,0.0000,23
0.8506,0.0000,24
0.8338,0.0000,25
0.9690,0.0000,26
0.7622,0.0000,27
0.9209,0.0000,28
0.8170,0.0000,29
0.8006,0.0000,30
0.7707,0.0000,31
0.8383,0.0000,32
0.9997,0.0000,33
0.9211,0.0000,34
0.8282,0.0000,35
0.9997,0.0000,36
0.8422,0.0000,37
0.9996,0.0000,38
0.9682,0.0000,39
0.9660,0.0000,40
0.9531,0.0000,41
0.9996,0.0000,42
0.9380,0.0000,43
0.9684,0.0000,44
0.9772,0.0000,45
0.9977,0.0000,46
0.9995,0.0000,47
0.9744,0.0000,48
0.9577,0.0000,49
0.9995,0.0000,50
