mean avg p,sigma mean p,ER
0.4080,0.0000,1
0.5137,0.0000,2
0.6892,0.0000,3
0.6500,0.0000,4
0.6762,0.0000,5
0.8093,0.0000,6
0.7910,0.0000,7
0.7312,0.0000,8
0.7720,0.0000,9
0.7638,0.0000,10
0.7431,0.0000,11
0.6783,0.0000,12
0.8950,0.0000,13
0.7753,0.0000,14
0.9000,0.0000,15
0.8985,0.0000,16
0.8489,0.0000,17
0.8560,0.0000,18
0.9500,0.0000,19
0.7617,0.0000,20
0.7703,0.0000,21
0.9047,0.0000,22
0.8610,0.0000,23
0.7679,0.0000,24
0.9017,0.0000,25
0.8119,0.0000,26
0.9724,0.0000,27
0.8864,0.0000,28
0.8511,0.0000,29
0.8123,0.0000,30
0.8401,0.0000,31
0.7944,0.0000,32
0.9197,0.0000,33
0.9996,0.0000,34
0.8094,0.0000,35
0.9997,0.0000,36
0.9997,0.0000,37
0.9637,0.0000,38
0.8824,0.0000,39
0.8956,0.0000,40
0.9995,0.0000,41
0.9972,0.0000,42
0.9548,0.0000,43
0.9978,0.0000,44
0.9544,0.0000,45
0.9942,0.0000,46
0.9995,0.0000,47
0.9298,0.0000,48
0.9994,0.0000,49
0.9119,0.0000,50
