mean avg p,sigma mean p,ER
0.5585,0.0000,1
0.5308,0.0000,2
0.8567,0.0000,3
0.6485,0.0000,4
0.6807,0.0000,5
0.8256,0.0000,6
0.8734,0.0000,7
0.7798,0.0000,8
0.8875,0.0000,9
0.8930,0.0000,10
0.8643,0.0000,11
0.7066,0.0000,12
0.8070,0.0000,13
0.6852,0.0000,14
0.8161,0.0000,15
0.7735,0.0000,16
0.8798,0.0000,17
0.7598,0.0000,18
0.9547,0.0000,19
0.9088,0.0000,20
0.8362,0.0000,21
0.7472,0.0000,22
0.9117,0.0000,23
0.7808,0.0000,24
0.8390,0.0000,25
0.8855,0.0000,26
0.8583,0.0000,27
0.9191,0.0000,28
0.9996,0.0000,29
0.9995,0.0000,30
0.9344,0.0000,31
0.9998,0.0000,32
0.8630,0.0000,33
0.9998,0.0000,34
0.9034,0.0000,35
0.9995,0.0000,36
0.9261,0.0000,37
0.9995,0.0000,38
0.9995,0.0000,39
0.9995,0.0000,40
0.9466,0.0000,41
0.9994,0.0000,42
0.9544,0.0000,43
0.9986,0.0000,44
0.9995,0.0000,45
0.9994,0.0000,46
0.9209,0.0000,47
0.9993,0.0000,48
0.9994,0.0000,49
0.9997,0.0000,50
