p,mean p omega,u,deg
0.9880,0.9803,10.0149,4.0000
0.9647,0.9718,10.0694,11.0000
0.9809,0.9784,10.0844,3.0000
0.9781,0.9809,9.9803,1.0000
0.9801,0.9760,10.0304,4.0000
0.9781,0.9723,10.0959,2.0000
0.9801,0.9758,10.0196,4.0000
0.9719,0.9590,9.8726,8.0000
0.9801,0.9680,9.4741,3.0000
0.9809,0.9678,10.0098,2.0000
0.9713,0.9705,9.9333,8.0000
0.9809,0.9723,10.0584,2.0000
0.9809,0.9779,10.0550,4.0000
0.9545,0.9730,9.8098,2.0000
0.9811,0.9671,9.9748,4.0000
0.9759,0.9322,10.5495,4.0000
0.9870,0.9836,9.9966,6.0000
0.9801,0.9747,10.0987,5.0000
0.9936,0.9766,9.9846,10.0000
0.9809,0.9735,9.9551,6.0000
0.9826,0.9700,9.9527,4.0000
0.9629,0.9699,10.0480,5.0000
0.9547,0.9582,9.9017,7.0000
0.9763,0.9764,9.9725,8.0000
0.9809,0.9770,9.8207,4.0000
0.9781,0.9637,10.0684,2.0000
0.9849,0.9807,10.1441,6.0000
0.8182,NaN,0.0000,0.0000
0.9644,0.9739,9.8739,2.0000
0.9709,0.9936,9.9086,1.0000
0.9780,0.9685,10.1185,7.0000
0.9460,0.9795,9.6388,5.0000
0.9644,0.9633,9.8963,3.0000
0.9763,0.9360,9.7774,3.0000
0.9809,0.9766,10.0097,4.0000
0.9647,0.9582,10.0502,5.0000
0.9637,0.9683,10.2468,3.0000
0.9647,0.9240,9.7884,5.0000
0.9647,NaN,0.0000,0.0000
0.9545,0.9703,9.7242,3.0000
0.9665,0.9339,11.3062,6.0000
0.9801,0.9548,10.2429,4.0000
0.9719,0.9547,9.4308,3.0000
0.9545,0.9791,9.8978,6.0000
0.9801,NaN,9.9622,0.0000
0.9826,0.9855,9.9214,2.0000
0.9644,0.9779,9.9885,5.0000
0.9644,0.9642,9.9658,7.0000
0.9801,0.9135,11.4852,5.0000
0.9935,0.9810,10.0422,6.0000
0.9801,0.9787,10.0586,3.0000
0.9629,0.9705,9.8843,5.0000
0.9801,0.9688,10.0226,5.0000
0.9820,0.9757,9.9911,6.0000
0.9647,0.9593,9.9630,3.0000
0.9781,0.9764,9.8970,2.0000
0.9880,0.9497,10.3823,1.0000
0.9801,0.8716,12.2162,2.0000
0.9849,0.9647,9.5978,5.0000
0.9809,0.9765,10.0996,5.0000
0.9801,0.9763,9.9143,3.0000
0.9801,0.9133,11.4037,5.0000
0.9781,0.9775,9.9319,6.0000
0.9727,0.9620,9.4223,4.0000
0.9809,0.9694,10.2080,6.0000
0.9629,0.9373,9.9183,6.0000
0.9763,0.9794,9.6803,8.0000
0.9849,0.9650,9.8283,4.0000
0.9855,0.9709,10.1163,4.0000
0.9647,0.9714,9.8480,5.0000
0.9826,0.9728,9.9575,6.0000
0.9637,0.9742,10.0216,7.0000
0.9679,0.9791,9.9208,4.0000
0.9936,0.9783,10.0067,4.0000
0.9513,0.9842,9.5592,2.0000
0.9801,0.9502,9.9569,6.0000
0.9880,0.9816,10.0331,5.0000
0.9468,0.9736,10.0920,3.0000
0.9811,0.9590,9.7140,5.0000
0.9647,0.9705,9.8767,7.0000
0.9801,0.9608,9.6975,6.0000
0.9637,0.9678,9.8175,6.0000
0.8223,0.9774,9.6858,7.0000
0.9719,0.9562,10.2953,8.0000
0.9609,0.9691,10.1362,3.0000
0.9832,0.9616,10.3400,5.0000
0.9801,0.9719,10.0822,1.0000
0.9801,0.9777,9.9172,4.0000
0.9644,0.8966,9.7088,2.0000
0.9547,0.9743,9.8581,3.0000
0.9515,0.9607,9.8004,4.0000
0.9801,0.9789,9.9606,7.0000
0.9931,0.9074,10.0740,2.0000
0.9763,0.9711,10.2606,3.0000
0.9748,0.9721,10.0540,8.0000
0.9989,0.9629,10.3594,1.0000
0.9781,0.9667,10.2660,2.0000
0.9781,0.9801,9.9803,1.0000
0.9468,0.9436,10.0459,6.0000
0.9820,0.9671,10.0190,5.0000
0.9763,0.9745,9.9593,5.0000
0.9283,0.9760,10.0262,7.0000
0.9637,0.9719,9.8883,1.0000
0.9936,0.9632,9.9853,2.0000
0.9801,0.9656,10.0730,3.0000
0.9801,0.8932,11.4200,5.0000
0.9801,0.9734,10.0000,5.0000
0.9713,0.9764,9.9541,4.0000
0.9564,NaN,0.0000,0.0000
0.9809,0.9701,10.0762,3.0000
0.9801,0.9890,9.8966,3.0000
0.9801,0.9751,10.0225,4.0000
0.9801,0.9719,9.9561,5.0000
0.9497,0.9762,9.8522,5.0000
0.9936,0.9694,9.9385,4.0000
0.7481,0.9765,9.1621,3.0000
0.9780,0.9747,9.8633,10.0000
0.9781,0.9762,10.0186,1.0000
0.9809,0.9749,9.9148,7.0000
0.9801,0.9684,10.1166,1.0000
0.9801,0.9725,9.8683,3.0000
0.9801,0.9830,9.4612,3.0000
0.9637,0.9791,9.9887,2.0000
0.9513,0.9735,9.8437,5.0000
0.9637,0.9747,9.8940,2.0000
0.9513,0.9736,9.8743,6.0000
0.9647,0.9813,9.8776,3.0000
0.9866,0.9861,9.7006,7.0000
0.9874,0.9750,9.7402,3.0000
0.9781,0.9744,10.1020,7.0000
0.9727,0.9809,10.2145,1.0000
0.9801,0.9816,9.9558,3.0000
0.9801,0.9815,9.9617,4.0000
0.9637,0.9742,9.9373,4.0000
0.9545,0.9782,10.0205,4.0000
0.9809,0.9736,9.8561,4.0000
0.9801,0.9671,10.0233,6.0000
0.9644,0.9835,9.9259,2.0000
0.9731,0.9743,10.1583,3.0000
0.9781,0.9822,9.9261,4.0000
0.9702,0.9636,10.2946,4.0000
0.9826,0.9567,9.9093,2.0000
0.9713,0.9824,9.7599,4.0000
0.9801,0.9665,9.8934,6.0000
0.9580,0.9564,10.0150,2.0000
0.9644,0.9713,10.0230,1.0000
0.9936,0.9740,10.0980,5.0000
0.9833,0.9817,10.0507,9.0000
0.9781,0.9709,9.8105,5.0000
0.8223,0.9816,8.8720,3.0000
0.9763,0.9801,10.0327,3.0000
0.9887,0.9710,9.9329,3.0000
0.9468,0.9722,9.8133,11.0000
0.9801,0.9890,9.7758,5.0000
0.9801,0.9730,9.8980,2.0000
0.9809,0.9793,10.0610,7.0000
0.7585,0.9612,9.7425,5.0000
0.9801,0.9756,10.0486,4.0000
0.9887,0.9718,9.9335,14.0000
0.9547,0.9835,9.9343,4.0000
0.9801,0.9832,9.9917,2.0000
0.9809,0.9719,10.0074,2.0000
0.9801,0.9812,9.9201,7.0000
0.9809,0.9781,10.0207,4.0000
0.9644,0.9517,9.7489,9.0000
0.9781,0.9655,10.2073,2.0000
0.9826,0.9722,9.9819,3.0000
0.9513,0.9632,10.0580,8.0000
0.9809,0.9440,9.8568,5.0000
0.9936,0.9829,10.0633,2.0000
0.9571,0.9709,9.8380,5.0000
