p,mean p omega,u,deg
0.9891,0.9893,9.8807,2.0000
0.9843,0.9811,10.0576,4.0000
0.9901,0.9803,10.0331,7.0000
0.9835,0.9834,10.0387,3.0000
0.9843,0.9837,10.0001,6.0000
0.9656,0.9810,9.9707,4.0000
0.9776,0.9767,10.1835,4.0000
0.9730,0.9776,9.8938,1.0000
0.9715,0.9774,9.8969,4.0000
0.9994,0.9915,9.9653,5.0000
0.9855,0.9728,9.9919,3.0000
0.9815,0.9818,9.9930,4.0000
0.9964,0.9816,9.9188,3.0000
0.9766,0.9877,10.0655,6.0000
0.9776,0.9781,10.0553,3.0000
0.9901,0.9832,10.0365,3.0000
0.9901,0.9739,9.8954,3.0000
0.9801,0.9804,10.0418,2.0000
0.9592,0.9820,9.7570,1.0000
0.9808,0.9769,9.9691,3.0000
0.9841,NaN,0.0000,0.0000
0.9891,NaN,0.0000,0.0000
0.9807,0.9820,10.0307,1.0000
0.9841,0.9798,9.9903,6.0000
0.9840,0.9815,10.0408,3.0000
1.0000,0.9818,9.9564,5.0000
0.9841,0.9807,10.0382,3.0000
0.9835,0.9843,9.8816,7.0000
0.9808,0.9824,9.9527,5.0000
0.9766,0.9806,9.9637,4.0000
0.9863,0.9881,9.8526,5.0000
0.9715,0.9754,9.9561,4.0000
0.9889,0.9812,9.8972,5.0000
0.9841,0.9854,9.8079,3.0000
0.9776,0.9812,9.9394,1.0000
0.9843,0.9886,9.8457,5.0000
0.9555,0.9754,9.9763,3.0000
0.9820,0.9807,10.0271,7.0000
0.9766,0.9881,10.0707,2.0000
0.9776,0.9899,10.0902,2.0000
0.9835,0.9779,10.0296,3.0000
0.9901,0.9717,10.2170,4.0000
0.9776,0.9826,10.0207,5.0000
0.9843,0.9849,9.9985,6.0000
0.9779,0.9846,9.9383,4.0000
0.9776,0.9874,10.0625,2.0000
0.9792,0.9774,10.0682,2.0000
0.9801,0.9789,9.9242,3.0000
0.9901,0.9900,9.9250,6.0000
0.9805,0.9799,10.0185,7.0000
0.9865,0.9857,9.9173,3.0000
0.9841,0.9768,10.0197,8.0000
0.9841,0.9830,10.0700,7.0000
0.9985,0.9809,10.0284,4.0000
0.9855,0.9844,9.9462,8.0000
0.9786,0.9792,9.9814,5.0000
