gen,mean p,sigma p,max p,mean u,sigma u,sigma deg
0,0.5089,0.2862,0.9993,0.0000,0.0000,0.0000
1,0.2235,0.1742,0.9993,10.0000,3.2616,0.5339
2,0.1299,0.1077,0.6160,9.9960,1.6577,0.8116
3,0.0893,0.0768,0.5225,9.9910,0.9344,0.9811
4,0.0651,0.0561,0.4081,9.9928,0.7101,1.1136
5,0.0512,0.0449,0.3006,9.9906,0.5202,1.2298
6,0.0416,0.0369,0.2716,9.9864,0.4823,1.2806
7,0.0336,0.0299,0.1916,9.9921,0.4405,1.3643
8,0.0287,0.0265,0.1916,9.9853,0.4533,1.4500
9,0.0245,0.0220,0.1408,9.9887,0.4464,1.5141
10,0.0209,0.0188,0.1408,9.9896,0.4201,1.5724
11,0.0186,0.0167,0.1007,9.9684,0.5914,1.5965
12,0.0164,0.0145,0.0939,9.9579,0.6815,1.6443
13,0.0149,0.0134,0.0939,9.9417,0.7637,1.6937
14,0.0134,0.0122,0.0929,9.9184,0.9082,1.7328
15,0.0123,0.0112,0.0929,9.8928,1.0334,1.7649
16,0.0114,0.0104,0.0929,9.8892,1.0615,1.8138
17,0.0107,0.0100,0.0583,9.8736,1.1163,1.8000
18,0.0102,0.0096,0.0583,9.8826,1.0885,1.7969
19,0.0098,0.0095,0.0583,9.8770,1.1158,1.8152
20,0.0093,0.0085,0.0559,9.8806,1.0876,1.8459
21,0.0088,0.0082,0.0559,9.8625,1.1678,1.8708
22,0.0083,0.0078,0.0559,9.8450,1.2431,1.8947
23,0.0081,0.0078,0.0559,9.8264,1.3140,1.9294
24,0.0079,0.0073,0.0559,9.8199,1.3368,1.9261
25,0.0076,0.0071,0.0547,9.8068,1.3807,1.9333
26,0.0071,0.0068,0.0547,9.8254,1.3134,1.9333
27,0.0068,0.0066,0.0547,9.8185,1.3358,1.9375
28,0.0063,0.0062,0.0403,9.8175,1.3356,1.9287
29,0.0060,0.0060,0.0403,9.8368,1.2658,1.9497
30,0.0060,0.0061,0.0403,9.8490,1.2168,1.9439
31,0.0056,0.0059,0.0403,9.8680,1.1397,1.9487
32,0.0054,0.0057,0.0403,9.8616,1.1658,1.9545
33,0.0054,0.0057,0.0403,9.8755,1.1126,1.9426
34,0.0050,0.0051,0.0338,9.8624,1.1659,1.9609
35,0.0049,0.0048,0.0338,9.8561,1.1914,1.9583
36,0.0047,0.0047,0.0338,9.8565,1.1913,1.9688
37,0.0045,0.0045,0.0338,9.8437,1.2411,1.9761
38,0.0042,0.0044,0.0338,9.8311,1.2888,1.9868
39,0.0042,0.0044,0.0338,9.8066,1.3791,1.9846
40,0.0042,0.0045,0.0338,9.8005,1.4007,1.9799
41,0.0039,0.0042,0.0338,9.8009,1.4008,1.9586
42,0.0038,0.0041,0.0338,9.7941,1.4219,1.9570
43,0.0037,0.0040,0.0338,9.7874,1.4427,1.9580
