p,mean p omega,u,deg
0.0176,0.0019,10.0112,2.0000
0.0191,0.0193,10.1851,6.0000
0.0035,0.0105,10.1789,4.0000
0.0029,0.0231,9.7170,7.0000
0.0191,0.0140,9.9600,6.0000
0.0036,0.0331,9.3805,3.0000
0.0765,0.0065,10.1749,7.0000
0.0159,0.0196,9.9809,6.0000
0.0172,0.0223,9.9605,3.0000
0.0308,0.0335,10.1010,4.0000
0.0053,0.0167,9.8312,5.0000
0.0279,0.0279,10.0000,1.0000
0.0172,0.0173,9.9231,5.0000
0.0626,0.0039,10.2826,6.0000
0.0035,0.0287,9.6935,2.0000
0.0186,0.0130,10.0421,3.0000
0.0249,0.0292,9.9229,5.0000
0.0337,0.0224,9.9704,4.0000
0.0116,0.0211,9.9938,5.0000
0.0265,0.0098,10.0039,5.0000
0.0265,0.0284,10.0374,5.0000
0.0032,0.0465,10.2539,4.0000
0.0710,0.0180,10.0362,7.0000
0.0211,0.0299,10.0847,4.0000
0.0569,0.0077,10.1673,8.0000
0.0265,0.0190,10.1156,5.0000
0.0035,0.0257,9.9258,2.0000
0.0269,0.0091,9.5358,4.0000
0.0029,0.0146,10.3694,4.0000
0.0119,0.0212,9.9088,3.0000
0.0014,0.0188,9.4575,3.0000
0.0547,0.0203,10.1445,7.0000
0.0338,0.0199,10.0505,4.0000
0.0053,0.0154,10.1529,3.0000
0.0192,0.0296,9.8704,7.0000
0.0265,0.0222,10.0722,6.0000
0.0035,0.0048,9.8279,3.0000
0.0136,0.0186,10.4367,4.0000
0.0036,0.0184,9.9191,3.0000
0.0342,0.0260,9.7568,4.0000
0.0053,0.0258,10.1974,5.0000
0.0176,0.0200,9.5340,7.0000
0.0172,0.0120,9.9011,5.0000
0.0208,0.0201,10.1161,3.0000
0.0173,0.0354,9.9436,4.0000
0.0186,0.0113,10.0492,3.0000
0.0035,0.0335,10.0970,2.0000
0.0172,0.0097,9.9268,2.0000
0.0211,0.0084,10.1136,2.0000
0.0029,0.0163,9.9889,4.0000
0.0110,0.0261,10.1404,6.0000
0.0591,0.0378,10.0353,4.0000
0.0157,0.0441,10.2831,3.0000
0.0208,0.0236,10.2748,3.0000
0.0308,0.0229,10.0411,5.0000
0.0035,0.0330,9.9372,4.0000
0.0036,0.0150,10.2221,6.0000
0.0337,0.0294,9.9464,5.0000
0.0173,0.0303,9.9574,6.0000
0.0036,0.0188,10.1647,4.0000
0.0036,0.0178,10.0181,6.0000
0.0014,0.0061,10.0099,5.0000
0.0036,0.0014,9.8644,1.0000
0.0269,0.0127,10.2077,4.0000
0.0107,0.0283,10.1425,3.0000
0.0172,0.0197,9.9031,7.0000
0.0265,0.0133,10.2415,4.0000
0.0016,0.0181,10.0977,7.0000
0.0173,0.0261,9.5325,6.0000
0.0280,0.0148,10.3165,8.0000
0.0108,0.0233,9.7827,2.0000
0.0358,0.0154,10.1106,4.0000
0.0108,0.0157,9.8255,3.0000
0.0006,0.0114,10.1116,8.0000
0.0110,0.0253,10.1649,5.0000
0.0337,0.0221,10.1655,2.0000
0.0176,0.0139,10.3904,3.0000
0.0244,0.0194,10.0270,3.0000
0.0244,0.0210,9.9574,4.0000
0.0244,0.0236,9.9773,4.0000
0.0267,0.0147,9.9718,4.0000
0.0265,0.0239,9.8844,4.0000
0.0157,0.0257,9.5612,6.0000
0.0402,0.0292,10.2715,3.0000
0.0107,0.0163,9.5132,1.0000
0.0208,0.0470,10.0562,3.0000
0.1007,0.0193,10.2643,3.0000
0.0120,0.0035,10.2264,1.0000
0.0500,0.0287,9.9218,3.0000
0.0280,0.0201,10.1441,4.0000
0.0110,0.0154,10.2083,7.0000
0.0110,0.0180,10.0106,5.0000
0.0110,0.0227,10.1407,4.0000
0.0249,0.0304,9.6577,3.0000
0.0073,0.0204,9.8144,4.0000
0.0099,0.0153,10.2843,5.0000
0.0108,0.0229,9.9768,3.0000
0.0365,0.0073,10.3766,2.0000
0.0337,0.0228,9.9830,4.0000
0.0279,0.0247,9.8394,5.0000
0.0337,0.0117,10.1000,6.0000
0.0108,0.0183,9.9980,5.0000
0.0035,0.0190,9.7320,5.0000
0.0172,0.0172,10.0000,2.0000
0.0172,0.0141,9.9693,2.0000
0.0110,0.0170,10.1179,8.0000
0.0269,0.0190,9.9411,4.0000
0.0211,0.0164,9.6447,6.0000
0.0244,0.0185,10.1226,9.0000
0.0036,0.0253,10.1017,9.0000
0.0208,0.0239,9.9539,4.0000
0.0107,0.0192,10.0538,3.0000
0.0107,0.0207,9.9544,4.0000
0.0404,0.0262,10.1175,5.0000
0.0107,0.0174,10.0891,5.0000
0.0014,0.0148,9.7214,4.0000
0.0172,0.0114,10.1617,6.0000
0.0249,0.0246,10.0393,4.0000
0.0244,0.0254,10.0087,4.0000
0.0244,0.0244,10.0000,3.0000
0.0265,0.0111,9.9621,5.0000
0.0110,0.0281,10.0100,5.0000
0.0208,0.0188,10.2432,2.0000
0.0208,0.0179,10.1948,6.0000
0.0014,0.0666,9.8481,3.0000
0.0110,0.0073,10.1658,2.0000
0.0269,0.0101,10.1015,4.0000
0.0659,0.0328,9.6113,6.0000
0.0035,0.0075,10.1232,4.0000
0.0053,0.0176,9.8252,7.0000
0.0342,0.0082,10.4399,2.0000
0.0579,0.0438,10.0174,6.0000
0.0579,0.0345,9.6775,2.0000
0.0312,0.0227,9.7918,6.0000
0.0073,0.0312,10.1053,4.0000
0.0304,0.0239,9.6620,5.0000
0.0186,0.0065,10.0740,3.0000
0.0110,0.0195,9.6301,6.0000
0.0458,0.0054,10.3371,5.0000
0.0032,0.0164,9.9858,6.0000
0.0280,0.0196,9.9693,4.0000
0.0280,0.0176,9.9204,3.0000
0.0611,0.0211,10.0000,1.0000
0.0172,0.0164,10.1998,5.0000
0.0014,0.0205,9.2310,7.0000
0.0014,0.0062,10.5290,2.0000
0.0943,0.0091,9.3451,4.0000
0.0211,0.0193,10.2236,2.0000
0.0176,0.0193,10.0111,5.0000
0.0035,0.0276,9.9583,4.0000
0.0211,0.0284,10.1231,4.0000
0.0036,0.0113,10.0764,3.0000
0.0211,0.0209,10.0714,5.0000
0.0265,0.0182,9.9774,4.0000
0.0107,0.0254,9.9265,2.0000
0.0402,0.0241,10.0927,4.0000
0.0167,0.0149,10.1240,3.0000
0.0167,0.0188,9.9713,5.0000
0.0254,0.0211,10.1102,5.0000
0.0053,0.0246,9.8702,5.0000
0.0172,0.0182,9.8858,3.0000
0.0265,0.0176,10.0042,7.0000
0.0363,0.0284,10.1573,3.0000
0.0014,0.0152,9.5641,3.0000
0.0186,0.0161,9.9011,5.0000
0.0036,0.0177,9.9025,3.0000
0.0108,0.0240,9.9967,5.0000
0.0082,0.0288,10.4602,4.0000
0.0402,0.0233,10.3490,5.0000
0.0342,0.0273,10.0493,4.0000
0.0014,0.0267,9.9361,5.0000
0.0402,0.0569,9.9019,2.0000
0.0186,0.0279,10.1673,3.0000
0.0312,0.0132,10.0399,2.0000
0.0173,0.0113,9.8818,4.0000
0.0036,0.0220,10.0358,4.0000
0.0035,0.0125,9.9491,6.0000
0.0279,0.0154,10.1295,4.0000
0.0186,0.0643,9.2251,2.0000
0.0265,0.0227,10.0000,3.0000
0.0172,0.0241,10.2655,4.0000
0.0172,0.0373,9.5476,5.0000
0.0211,0.0244,10.0000,1.0000
0.0029,0.0299,10.0218,2.0000
0.0110,0.0248,10.1920,5.0000
0.0191,0.0176,9.5529,6.0000
0.0269,0.0269,10.2768,1.0000
0.0211,0.0377,9.4795,4.0000
0.0211,0.0193,10.0089,4.0000
0.0211,0.0211,9.9885,2.0000
0.0167,0.0229,10.0383,5.0000
0.0035,0.0073,10.0027,3.0000
0.0211,0.0211,10.0783,4.0000
0.0211,0.0210,10.0600,3.0000
0.0035,0.0103,10.2072,7.0000
0.0249,0.0268,9.9099,3.0000
0.0249,0.0213,10.0097,3.0000
0.0249,0.0213,9.8968,4.0000
0.0249,0.0149,10.0849,4.0000
0.0036,0.0360,10.1149,2.0000
0.0616,0.0359,10.1474,4.0000
0.0172,0.0265,10.0000,1.0000
0.0254,0.0029,9.7744,1.0000
0.0279,0.0188,10.0327,3.0000
0.0186,0.0232,10.0758,2.0000
0.0053,0.0137,10.1150,6.0000
0.0108,0.0117,10.2245,5.0000
0.0108,0.0133,9.8289,3.0000
0.0157,0.0088,9.8468,2.0000
0.0014,0.0078,10.5233,5.0000
0.0195,0.0321,10.0000,3.0000
0.0301,0.0114,8.9742,4.0000
0.0035,0.0126,10.2895,7.0000
0.0269,0.0235,9.9290,3.0000
0.0172,0.0277,10.0206,4.0000
0.0176,NaN,9.9960,0.0000
0.0107,0.0232,10.1115,7.0000
0.0279,0.0151,9.1498,4.0000
0.0458,0.0457,9.6797,3.0000
0.0254,0.0097,10.3008,3.0000
0.0172,0.0193,10.0814,4.0000
0.0254,0.0153,9.9465,6.0000
0.1007,0.0336,10.1020,4.0000
0.0119,0.0109,9.2973,3.0000
0.0035,0.0074,10.4544,2.0000
0.0073,0.0327,9.7503,5.0000
0.0211,0.0393,10.0379,4.0000
0.0211,0.0201,10.0000,3.0000
0.0211,0.0204,9.9793,5.0000
0.0211,0.0202,10.1516,5.0000
0.0208,0.0211,10.0027,1.0000
0.0342,0.0175,9.9294,4.0000
0.0108,0.0093,10.0423,5.0000
0.0308,0.0250,9.8028,2.0000
0.0308,0.0181,9.9317,4.0000
0.0278,0.0228,10.2584,7.0000
0.0053,0.0256,9.8981,4.0000
0.0249,0.0102,10.1465,4.0000
0.0172,0.0126,10.0609,4.0000
0.0211,0.0219,10.1970,2.0000
0.0053,0.0288,10.0309,5.0000
0.0073,0.0164,10.0279,4.0000
0.0029,0.0210,10.2800,5.0000
0.0363,0.0127,10.1441,5.0000
0.0110,0.0221,9.8238,8.0000
0.0195,0.0244,9.8953,1.0000
0.0108,0.0273,9.6326,3.0000
0.0588,0.0273,10.4522,6.0000
0.0004,0.0123,10.0890,3.0000
0.0208,0.0098,10.1914,3.0000
0.0279,0.0128,10.0983,4.0000
0.0211,0.0277,10.2688,5.0000
0.0279,0.0275,9.9756,4.0000
0.0269,0.0180,10.2313,5.0000
0.0159,0.0186,9.8987,5.0000
0.0267,0.0176,10.0153,6.0000
0.0458,0.0236,9.9478,3.0000
0.0458,0.0406,9.8478,6.0000
0.0939,0.0245,10.1929,4.0000
0.0029,0.0352,9.3371,7.0000
0.0119,0.0324,9.5103,4.0000
0.0265,0.0424,9.3641,4.0000
0.0053,0.0100,10.0598,2.0000
0.0119,0.0109,10.1370,6.0000
0.0029,0.0458,10.1159,7.0000
0.1408,0.0106,10.4654,5.0000
0.0211,0.0579,9.9742,6.0000
0.0208,0.0185,9.9650,4.0000
0.0211,0.0235,10.0346,4.0000
0.0211,0.0377,10.0681,3.0000
0.0517,0.0341,9.7284,4.0000
0.0133,0.0113,10.1283,3.0000
0.0133,0.0138,10.3930,4.0000
0.0167,0.0070,9.3033,6.0000
0.0107,0.0033,10.0235,2.0000
0.0036,0.0188,9.6618,4.0000
0.0249,0.0048,10.0999,3.0000
0.0053,0.0210,9.8936,5.0000
0.0249,0.0107,10.1062,4.0000
0.0053,0.0133,10.0860,6.0000
0.0402,0.0165,9.6653,5.0000
0.0167,0.0151,9.4001,5.0000
0.0014,0.0073,10.0819,5.0000
0.0029,0.0173,10.2910,5.0000
0.0029,0.0347,10.0569,7.0000
0.0659,0.0315,9.7041,5.0000
0.0659,0.0275,9.8999,5.0000
0.0029,0.0290,9.4403,8.0000
